obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""492.9668""","=""0.0004""","=""492.96711""","=""0.00004""","=""8""","=""""",,"=""94700.415""","=""114980.083""","=""3d6.(3F1).4p""","=""2D*""","=""5/2""","=""3d6.(5D).6d""","=""6P""","=""7/2""",,"=""""","=""L18349c139""",
"=""493.5373""","=""0.0005""","=""493.537494""","=""0.000020""","=""25""","=""3.6e+05""",D+,"=""83713.583""","=""103969.814""","=""3d6.(5D).4d""","=""6D""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""493.70367""","=""0.00019""","=""493.70391""","=""0.00006""","=""210""","=""""",,"=""57493.333""","=""77742.736""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d6.(1D2).4p""","=""v 2F*""","=""5/2""",,"=""""","=""L18349c139""",
"=""493.70719""","=""0.00016""","=""493.706987""","=""0.000025""","=""80""","=""1.4e+06""",D+,"=""83136.508""","=""103385.785""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""494.2169""","=""0.0002""","=""494.216800""","=""0.000022""","=""50""","=""2.7e+06""",D+,"=""83136.508""","=""103364.897""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""494.37023""","=""0.00012""","=""494.37043""","=""0.00003""","=""340bl(Fe II)*""","=""""",,"=""61512.630""","=""81734.733""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""","=""3d5.4s2""","=""2F2""","=""7/2""",,"=""""","=""L18349c148""",
"=""494.37023""","=""0.00012""","=""494.37092""","=""0.00004""","=""340bl(Fe II)*""","=""""",,"=""59663.440""","=""79885.523""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(5D).5s""","=""e 4D""","=""5/2""",,"=""""","=""L18349c148""",
"=""494.5062""","=""0.0009""","=""494.50585""","=""0.00003""","=""26""","=""4.8e+06""",D+,"=""83459.721""","=""103676.286""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""494.68993""","=""0.00015""","=""494.68997""","=""0.00003""","=""80""","=""2.2e+06""",D+,"=""83459.721""","=""103668.762""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""494.80872""","=""0.00003""","=""494.808717""","=""0.000022""","=""600""","=""2.06e+07""",C+,"=""83136.508""","=""103340.699""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""494.87913""","=""0.00002""","=""494.879114""","=""0.000022""","=""1200""","=""4.2e+07""",B+,"=""83459.721""","=""103661.038""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""495.15805""","=""0.00002""","=""495.158055""","=""0.000020""","=""2100""","=""4.4e+07""",B+,"=""83136.508""","=""103326.445""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""495.26524""","=""0.00004""","=""495.266039""","=""0.000022""","=""400""","=""1.63e+07""",C+,"=""83459.721""","=""103645.256""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c145""",
"=""495.5086""","=""0.0007""","=""495.50872""","=""0.00003""","=""25""","=""3.2e+05""",D,"=""83812.352""","=""103988.001""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""495.822760""","=""0.000020""","=""""","=""5.0e-03""",C,"=""667.6829""","=""20830.5534""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""",M1,"=""T6677""","=""""",
"=""495.88211""","=""0.00004""","=""495.88212""","=""0.00003""","=""400""","=""4.7e+06""",D+,"=""83713.583""","=""103874.040""","=""3d6.(5D).4d""","=""6D""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""495.95574""","=""0.00017""","=""495.955798""","=""0.000020""","=""70""","=""2.1e+06""",D+,"=""83812.352""","=""103969.814""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""496.57897""","=""0.00003""","=""""","=""1.2e-02""",D+,"=""384.7872""","=""20516.9534""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d7""","=""a 2D2""","=""5/2""",M1,"=""T6677""","=""""",
"=""496.93564""","=""0.00006""","=""496.93563""","=""0.00003""","=""200""","=""2.0e+07""",D+,"=""83558.569""","=""103676.286""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""497.12176""","=""0.00007""","=""497.12156""","=""0.00004""","=""170""","=""2.11e+07""",C+,"=""83558.569""","=""103668.762""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""497.13403""","=""0.00010""","=""497.13389""","=""0.00003""","=""130""","=""5.1e+06""",D+,"=""83308.241""","=""103417.935""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""497.42113""","=""0.00009""","=""497.421025""","=""0.000020""","=""130""","=""1.5e+06""",D+,"=""83308.241""","=""103406.327""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""497.70332""","=""0.00002""","=""497.70331""","=""0.00003""","=""1400""","=""6.1e+07""",B+,"=""83558.569""","=""103645.256""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""497.79194""","=""0.00005""","=""497.79193""","=""0.00003""","=""250""","=""1.69e+07""",C+,"=""83308.241""","=""103391.352""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""497.9308""","=""0.0007""","=""497.929960""","=""0.000020""","=""18""","=""9.e+05""",D+,"=""83308.241""","=""103385.785""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""498.10743""","=""0.00014""","=""498.107497""","=""0.000020""","=""80""","=""6.1e+05""",D+,"=""83812.352""","=""103882.740""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""498.44852""","=""0.00002""","=""498.448536""","=""0.000020""","=""1400""","=""5.4e+07""",B+,"=""83308.241""","=""103364.897""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""498.45703""","=""0.00009""","=""498.45706""","=""0.00003""","=""110""","=""1.7e+06""",D+,"=""83990.106""","=""104046.419""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""498.72724""","=""0.00010""","=""498.72714""","=""0.00003""","=""120""","=""4.3e+06""",D+,"=""83812.352""","=""103857.804""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""499.05062""","=""0.00002""","=""499.05064""","=""0.00003""","=""2000""","=""5.2e+07""",B+,"=""83308.241""","=""103340.699""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""499.14379""","=""0.00005""","=""499.143779""","=""0.000020""","=""310""","=""6.9e+06""",C+,"=""82853.704""","=""102882.424""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""499.3355""","=""0.0015""","=""499.335017""","=""0.000015""","=""40""","=""7.e+03""",E,"=""22637.1950""","=""42658.2444""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""",,"=""T6892c83""","=""L7357""",
"=""499.91827""","=""0.00004""","=""499.918301""","=""0.000023""","=""400""","=""9.8e+06""",C+,"=""82853.704""","=""102851.394""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<4>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
