obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""444.78054""","=""0.00018""","=""444.78055""","=""0.00004""","=""120bl(Fe II)*""","=""""",,"=""50142.811""","=""72619.499""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4D*""","=""5/2""",,"=""""","=""L18349c148""",
"=""444.78054""","=""0.00018""","=""444.781046""","=""0.000020""","=""120bl(Fe II)*""","=""""",,"=""92329.905""","=""114806.568""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c148""",
"=""444.85281""","=""0.00003""","=""444.852832""","=""0.000024""","=""220""","=""""",,"=""89924.150""","=""112397.186""","=""3d6.(5D).5p""","=""6F*""","=""11/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""444.88794""","=""0.00002""","=""444.888506""","=""0.000024""","=""1700bl(Ar)""","=""""",,"=""90898.878""","=""113370.112""","=""3d6.(5D).5p""","=""4D*""","=""3/2""","=""3d6.(5D).7s""","=""6D""","=""1/2""",,"=""""","=""L18349c148""",
"=""444.9610""","=""0.0006""","=""444.961119""","=""0.000020""","=""60""","=""8.e+05""",D+,"=""63948.803""","=""86416.370""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(5D).4d""","=""e 4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""445.1542""","=""0.0004""","=""445.15408""","=""0.00006""","=""90""","=""6.9e+05""",D+,"=""49506.922""","=""71964.750""","=""3d6.(3P1).4s""","=""c 4P""","=""3/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""445.19674""","=""0.00007""","=""445.196804""","=""0.000022""","=""70""","=""""",,"=""90780.623""","=""113236.296""","=""3d6.(5D).5p""","=""4F*""","=""7/2""","=""3d6.(5D).7s""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""445.209685""","=""0.000012""","=""""","=""4.65e-01""",C,"=""862.6118""","=""23317.6351""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d5.4s2""","=""a 6S""","=""5/2""",E2,"=""T6677""","=""""",
"=""445.64509""","=""0.00015""","=""445.645202""","=""0.000022""","=""25""","=""""",,"=""91048.225""","=""113481.304""","=""3d6.(3P1).5p""","=""4P*""","=""3/2""","=""3d6.(5D).7s""","=""4D""","=""3/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""445.794649""","=""0.000012""","=""""","=""2.55e-01""",C+,"=""384.7872""","=""22810.3459""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""",M1,"=""T6677""","=""""",
